"SYS_FIELD_NAME"," FIELD_DESC",
"YEAR","Year",
"QUARTER","Quarter",
"MONTH","Month",
"ORIGIN","Origin Airport",
"ORIGIN_CITY_NAME","Origin City",
"ORIGIN_CITY_NUM","Origin City Code",
"ORIGIN_STATE_ABR","Origin State Code",
"ORIGIN_STATE_FIPS","Origin State FIPS (U.S. Federal Information Processing Standard Codes)",
"ORIGIN_STATE_NM","Origin Airport, State Name",
"ORIGIN_WAC","Origin Airport, World Area Code",
"DEST","Destination Airport",
"DEST_CITY_NAME","Destination City",
"DEST_CITY_NUM","Destination City Code",
"DEST_STATE_ABR","Destination State Code",
"DEST_STATE_FIPS","Destination State FIPS (U.S. Federal Information Processing Standard Codes)",
"DEST_STATE_NM","Destination Airport, State Name",
"DEST_WAC","Destination Airport, World Area Code",
"UNIQUE_CARRIER","Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years.",
"AIRLINE_ID","An identification number assigned by US DOT to identify a unique airline (carrier). A unique airline (carrier) is defined as one holding and reporting under the same DOT certificate regardless of its Code, Name, or holding company/corporation.",
"UNIQUE_CARRIER_NAME","Unique Carrier Name. When the same name has been used by multiple carriers, a numeric suffix is used for earlier users, for example, Air Caribbean, Air Caribbean (1).",
"UNIQUE_CARRIER_ENTITY","Unique Entity for a Carrier's Operation Region.",
"REGION","Carrier's Operation Region. Carriers Report Data by Operation Region",
"CARRIER","Code assigned by IATA and commonly used to identify a carrier. As the same code may have been assigned to different carriers over time, the code is not always unique. For analysis, use the Unique Carrier Code.",
"CARRIER_NAME","Carrier Name",
"CARRIER_GROUP","Carrier Group Code.  Used in Legacy Analysis",
"CARRIER_GROUP_NEW","Carrier Group New",
"DISTANCE_GROUP","Distance Intervals, every 500 Miles, for Flight Segment",
"CLASS","Service Class",
"AIRCRAFT_GROUP","Aircraft Group",
"AIRCRAFT_TYPE","Aircraft Type",
"AIRCRAFT_CONFIG","Aircraft Configuration",
"DEPARTURES_SCHEDULED","Departures Scheduled",
"DEPARTURES_PERFORMED","Departures Performed",
"PAYLOAD","Available Payload (pounds)",
"SEATS","Available Seats",
"PASSENGERS","Non-Stop Segment Passengers Transported",
"FREIGHT","Non-Stop Segment Freight Transported (pounds)",
"MAIL","Non-Stop Segment Mail Transported (pounds)",
"DISTANCE","Distance between airports (miles)",
"RAMP_TO_RAMP","Ramp to Ramp Time (minutes)",
"AIR_TIME","Airborne Time (minutes)",
